"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
;595938;6.8;7.234
;961151;7.9;7.465
;1008339;7.1;7.549
;571914;7.7;7.688
;944184;6.9;5.773
;1046862;7.2;7.722
;656559;8.4;7.683
;181535;6.5;7.5
;841277;6.9;6.94
;518075;8.3;8.167
;1043987;6.6;5.837
;181535;6.5;7.5
;232084;7;7.058
;308625;7.5;8.057
;1006633;8.3;7.763
;961151;7.9;7.465
;277535;7.6;8.227
;664424;8.6;8.554
;647422;7.4;6.922
;1046844;8;7.627
;466990;7;7.691
;1157312;6.5;6.046
;591842;6;0
;355828;8.1;8.146
;566058;7.5;7.622
;587175;8.3;7.231
;717293;7.8;7.677
;1171869;5.8;6.357
;574688;8.3;8.115
;500460;7.5;0
;414522;7.6;6.884
;1114077;7;0
;308625;7.5;8.057
;502178;7.1;7.797
;4463309;5.8;0
;1112955;7.6;7.489
;279077;7.5;7.551
;664424;8.6;8.554
;2898;7.5;7.351
;481706;5.7;5.947
;501965;6.4;7.362
;926855;6.4;5.844
;638169;7.9;0
;720619;6.8;6.043
;1202993;0;8.646
;319;6.3;6.773
;571914;7.7;7.688
;86234;7.6;7.61
;909854;8.3;8.366
;589167;8;7.924
;4659065;4.8;0
;839427;8.9;7.704
;258048;8.3;8.374
;4374;8.1;8.375
;888610;7.1;6.762
;251568;8.4;8.731
;407636;8.1;8.153
;701756;7.5;7.231
;355828;8.1;8.146
;939563;7.2;7.434
;695609;6.9;6.905
;893361;8.3;8.195
;846003;6;5.078
;749708;6;0
;77381;7.3;7.58
;489414;6.7;6.683
;1112955;7.6;7.489
;1263845;8.1;7.939
;391889;8.7;7.87
;690593;7.4;7.156
;1046489;8.3;0
;355828;8.1;8.146
;968843;6.6;7.302
;667024;6.3;6.551
;355828;8.1;8.146
;1110465;6.6;6.303
;732373;7.3;6.93
;891433;7.7;7.203
;818937;7.3;6.801
;160932;6.5;6.764
;585595;7.7;7.867
;1046229;8.1;7.69
;591842;6;0
;820722;7.8;7.35
;701756;7.5;7.231
;662539;7.3;7.629
;656559;8.4;7.683
;470344;8.4;7.973
;885737;8.3;8.359
;838;7.4;7.728
;1114905;8.4;7.345
;1209803;6.7;0
;433849;7.5;7.892
;597687;7.9;7.728
;399920;7.5;7.271
;821384;7.3;6.636
;883491;7.7;0
;5030035;8.5;7.549
;77044;8.9;9.234
;461353;7.9;7.475
;232084;7;7.058
;1263468;7.2;6.926
;3470;6.4;6.686
;445186;8.2;8.087
;404900;9.5;8.892
;844248;7.4;0
;502178;7.1;7.797
;1156854;7.8;7.227
;596479;8.4;7.881
;585595;7.7;7.867
;308625;7.5;8.057
;737843;7.3;6.9
;1272627;7.4;7.325
;724702;8.2;7.731
;1112969;7;7.337
;882408;8.6;7.834
;1178445;8.3;7.53
;577257;7.4;7.088
;1044831;7.3;0
;1119216;7;0
;1175360;7.6;6.985
;970176;7;7.002
;771538;0;6.319
;436225;6.3;6.426
;400061;0;6.435
;716587;8.8;8.366
;589167;8;7.924
;581937;8.7;8.31
;258048;8.3;8.374
;1216657;0;4.866
;716587;8.8;8.366
;82441;6.3;7.114
;840294;6.7;6.869
;757563;7.2;7.055
;397152;6.8;7.287
;842916;6.8;6.794
;1035657;7.6;6.526
;452899;6.2;6.849
;1017397;8.4;8.14
;9552;6.9;7.029
;151513;6.4;7.304
;77044;8.9;9.234
;470344;8.4;7.973
;535304;7.9;7.686
;1046640;7.3;7.569
;762087;7.8;7.277
;667871;8.3;7.819
;782994;8.2;7.441
;589290;8;7.784
;574688;8.3;8.115
;1072991;6.8;6.438
;662539;7.3;7.629
;277545;6.7;6.902
;677719;7.9;7.74
;1113116;8.6;8.134
;502178;7.1;7.797
;582400;6.8;6.8
;939002;8.2;7.38
;4646861;0;0
;400027;7.5;7.817
;277535;7.6;8.227
;160958;7.6;8.191
;77044;8.9;9.234
;844;6.6;7.99
;86234;7.6;7.61
;701756;7.5;7.231
;1043872;5.3;6.173
;1260298;7.6;8.39
;104904;6.5;7.389
;991739;8.7;8.272
;394375;8.3;8.059
;655800;8.7;8.491
;714932;5;4.41
;277535;7.6;8.227
;679830;7.3;7.258
;447;8.3;8.155
;433849;7.5;7.892
;1044468;7;7.414
;277545;6.7;6.902
;821384;7.3;6.636
;4645886;7.1;7.157
;445186;8.2;8.087
;742597;6.9;7.223
;279077;7.5;7.551
;7122;7.5;7.852
;77044;8.9;9.234
;682255;8.5;8.164
;737705;7.9;7.493
;4789636;6.5;0
;591842;6;0
;1209248;6.6;6.787
;1108755;8;7.535
;737843;7.3;6.9
;574688;8.3;8.115
;1191654;0;0
;404896;7.4;7.1
;733888;7.3;6.778
;587175;8.3;7.231
;1129712;6.1;6.185
;883270;6.8;7.111
;723644;7.7;7.682
;401727;7.1;0
;181535;6.5;7.5
;667871;8.3;7.819
;463686;6.7;7.105
;397152;6.8;7.287
;581937;8.7;8.31
;466990;7;7.691
;855925;7.9;7.367
;6460;7.2;7.19
;470344;8.4;7.973
;1056155;7.4;7.206
;1046647;4.9;5.809
;1281959;6.9;0
;891578;7.8;7.367
;821384;7.3;6.636
;1260300;0;8.496
;1260295;7.4;0
;463689;6.9;6.169
;279077;7.5;7.551
;602409;6.6;6.718
;818782;8.1;7.808
;404900;9.5;8.892
;160958;7.6;8.191
;677719;7.9;7.74
;1343441;6.9;6.932
;400061;0;6.435
;837646;8;8.005
;932068;8.3;7.789
;893775;6.7;7.081
;769237;0;7.017
;839441;0;6.884
;1260294;8.2;8.316
;1163293;7.1;0
;499941;5.6;6.03
;732373;7.3;6.93
;1293172;6.1;6.142
;714888;7.8;7.072
;1406458;8.7;8.378
;749381;6.9;6.66
;1331542;7.2;6.462
;655800;8.7;8.491
;837646;8;8.005
;589167;8;7.924
;674032;7.1;7.397
;855898;8.4;7.898
;818782;8.1;7.808
;277535;7.6;8.227
;1228442;7;6.171
;104122;8.3;8.143
;160958;7.6;8.191
;843006;7.3;7.129
;472;8.2;8.074
;1260299;7.8;0
;4422313;7;6.544
;589167;8;7.924
;1363066;8.6;8.205
;838540;7.9;7.788
;818775;7.3;7.576
;682255;8.5;8.164
;839427;8.9;7.704
;103151;8.1;7.382
;1108660;6.7;5.633
;737705;7.9;7.493
;843650;8.4;7.855
;1409974;0;0
;733888;7.3;6.778
;1166987;6.5;6.431
;77330;6.9;7.695
;1115126;6.2;5.674
;893605;7.5;7.304
;1387177;0;7.067
;890386;6.5;6.543
;4530547;4;6.81
;581937;8.7;8.31
;664424;8.6;8.554
;978854;6.6;6.558
;818823;7.3;6.22
;329918;7.6;7.168
;938693;6.4;0
;9618;7.1;6.074
;391894;7.1;6.361
;277673;7;5.936
;2045712;7.2;7.25
